Parent,name,datatype,units,High Normal,Low Normal,Allow Decimal,locale,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,child.7,reference-term-source,reference-term-code,reference-term-relationship
Baseline Past History - 1/2,First diagnosis: Year and place,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Investigation used for confirmation,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,"First Episode of ""Filiarial Fever""",Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,"Last Episode of ""Filiarial Fever""",Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Frequence of fever and redness of limb,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 1/2,Medicines used to control inflammatory episode,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Routine DEC consumption,Coded,,,,,,,Banocide,Hetrazan,Eofil,Other,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Who Suggested,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,What frequency,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Diuretics used to control oedema?,Coded,,,,,,,Lasix,Dytide,Aldactone,Punarnavasana,Lymphedem,Deaflon,Other,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,Who Suggested,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Past History - 2/2,What frequency,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Whether treated for Filariasis,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Alternative systems tried,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,If so which one?,Text,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Practising yoga/physical exercise,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,If so give details,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 1/3,Special washing of the limb practiced everyday,Boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baseline Treatment History - 2/3,If so give details,Text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
